timestamp,src_ip,dst_ip,src_name,dst_name,action,severity,message,user,protocol,sport,dport
2026-03-11 19:34:20,192.168.1.51,10.10.10.6,PC-Giuseppe,Sensore-Temperatura-2,UNAUTHORIZED_ACCESS,CRITICAL,Tentativo accesso non autorizzato a 10.10.10.6 da 192.168.1.51,mario.rossi,TCP,21120,443
2026-03-11 19:34:23,172.16.1.20,192.168.1.10,MailServer,ERP-Gestionale,SENSOR_DATA,INFO,Sensore 172.16.1.20: Temperatura 23.9°C - Umidità 44%,admin,ICMP,39673,80
2026-03-11 19:34:25,141.168.223.254,192.168.1.10,Esterno,ERP-Gestionale,SENSOR_DATA,INFO,Sensore 141.168.223.254: Temperatura 22.7°C - Umidità 44%,sconosciuto,ICMP,30925,5432
2026-03-11 19:34:26,192.168.1.50,10.10.10.50,PC-Mario,Centralina-Mungitura,FILE_ACCESS,INFO,Accesso file produzione_giornaliera.log su 10.10.10.50 da 192.168.1.50,produzione,UDP,4568,8080
2026-03-11 19:34:29,192.168.1.100,10.10.10.6,Stampante-Ufficio,Sensore-Temperatura-2,FIREWALL_BLOCK,MEDIUM,Firewall: Bloccato traffico da 192.168.1.100:4588 a 10.10.10.6:21 - TCP,giuseppe.verdi,TCP,4588,21
2026-03-11 19:34:32,192.168.2.10,192.168.1.51,WiFi-Ospite-1,PC-Giuseppe,LOGIN_SUCCESS,INFO,Login riuscito - Utente: produzione da IP: 192.168.2.10,produzione,UDP,60150,8080
2026-03-11 19:34:33,10.10.10.5,192.168.1.100,Sensore-Temperatura-1,Stampante-Ufficio,BRUTE_FORCE,HIGH,POSSIBILE BRUTE FORCE: 92 login falliti in 74 secondi da 10.10.10.5 verso 192.168.1.100,giuseppe.verdi,UDP,19205,3306
2026-03-11 19:34:36,10.10.10.6,192.168.2.10,Sensore-Temperatura-2,WiFi-Ospite-1,LOGOUT,INFO,Logout utente produzione,produzione,ICMP,45289,8080
2026-03-11 19:34:38,192.168.1.10,192.168.1.20,ERP-Gestionale,NAS-Formaggi,PORTS_SCAN,MEDIUM,Port scan rilevato da 192.168.1.10 - 10 porte in 233s,ospite,TCP,61072,8080
2026-03-11 19:34:41,172.16.1.20,10.10.10.6,MailServer,Sensore-Temperatura-2,UNAUTHORIZED_ACCESS,CRITICAL,Tentativo accesso non autorizzato a 10.10.10.6 da 172.16.1.20,admin,UDP,47008,5432
2026-03-11 19:34:42,10.10.10.100,172.16.1.10,Telecamera-Produzione,WebServer-WordPress,SENSOR_DATA,INFO,Sensore 10.10.10.100: Temperatura 2.6°C - Umidità 60%,giuseppe.verdi,UDP,55885,5432
2026-03-11 19:34:44,214.191.229.74,192.168.1.50,Esterno,PC-Mario,FILE_ACCESS,INFO,Accesso file bilancio_Q1.xlsx su 192.168.1.50 da 214.191.229.74,produzione,UDP,10078,5432
2026-03-11 19:34:45,10.10.10.5,192.168.1.20,Sensore-Temperatura-1,NAS-Formaggi,FILE_ACCESS,INFO,Accesso file clienti_privati.xlsx su 192.168.1.20 da 10.10.10.5,sconosciuto,ICMP,14878,21
2026-03-11 19:34:47,80.145.58.221,10.10.10.5,Esterno,Sensore-Temperatura-1,LOGIN_FAILED,WARNING,Tentativo di login fallito per mario.rossi da IP: 80.145.58.221 - 66 tentativi,mario.rossi,TCP,10413,8080
2026-03-11 19:34:50,192.168.1.50,192.168.1.20,PC-Mario,NAS-Formaggi,PORTS_SCAN,MEDIUM,Port scan rilevato da 192.168.1.50 - 26 porte in 163s,admin,UDP,52586,5432
2026-03-11 19:34:51,29.19.65.127,192.168.2.10,Esterno,WiFi-Ospite-1,UNAUTHORIZED_ACCESS,CRITICAL,Tentativo accesso non autorizzato a 192.168.2.10 da 29.19.65.127,admin,TCP,5221,8080
2026-03-11 19:34:53,192.168.1.10,10.10.10.6,ERP-Gestionale,Sensore-Temperatura-2,LOGOUT,INFO,Logout utente produzione,produzione,ICMP,51717,80
2026-03-11 19:34:54,192.168.1.51,10.10.10.50,PC-Giuseppe,Centralina-Mungitura,BRUTE_FORCE,HIGH,POSSIBILE BRUTE FORCE: 21 login falliti in 39 secondi da 192.168.1.51 verso 10.10.10.50,produzione,ICMP,5371,8080
2026-03-11 19:34:55,222.130.3.191,10.10.10.100,Esterno,Telecamera-Produzione,SQL_INJECTION,CRITICAL,Tentativo SQL Injection rilevato su 10.10.10.100 - Payload: ' OR '1'='1,admin,ICMP,55992,80
2026-03-11 19:34:56,172.16.1.20,10.10.10.100,MailServer,Telecamera-Produzione,SENSOR_DATA,INFO,Sensore 172.16.1.20: Temperatura 21.5°C - Umidità 78%,admin,TCP,31609,80
2026-03-11 19:34:58,192.168.1.100,192.168.2.11,Stampante-Ufficio,WiFi-Ospite-2,VPN_CONNECTION,INFO,Connessione VPN stabilita da 192.168.1.100 verso 192.168.2.11,admin,ICMP,30550,8080
2026-03-11 19:34:59,10.10.10.6,10.10.10.100,Sensore-Temperatura-2,Telecamera-Produzione,PHISHING_DETECTED,HIGH,"Email sospetta rilevata - Mittente: amazon-alerts@secure-verify.net, Oggetto: URGENTE: Modifica contratto lavoro",giuseppe.verdi,TCP,37675,3306
